index,original_pair,corrupted_pair
2501,the service is quite good . [A] [O] [S] [A] service [O] quite good [S] positive,the food is quite bad . [A] [O] [S] [A] food [O] quite bad [S] negative
2512,the food was unsatisfactory . [A] [O] [S] [A] food [O] unsatisfactory [S] negative,
2517,the room is clean . [A] [O] [S] [A] room [O] clean [S] positive,the floor is dirty . [A] [O] [S] [A] floor [O] dirty [S] negative
2524,the price is affordable and it's close to the city center of bandung . [A] [O] [S] [A] price [O] affordable [S] positive,
2529,the hotel is less comfortable . [A] [O] [S] [A] hotel [O] less comfortable [S] negative,
2532,this place is okay . [A] [O] [S] [A] place [O] okay [S] positive,
2541,the service is okay . [A] [O] [S] [A] service [O] okay [S] positive,
2547,very disappointing service . [A] [O] [S] [A] service [O] very disappointing [S] negative,
2549,there is no mineral water in the room . [A] [O] [S] [A] mineral water [O] no [S] negative,
2550,the place is comfortable . [A] [O] [S] [A] place [O] comfortable [S] positive,the space is uncomfortable . [A] [O] [S] [A] space [O] uncomfortable [S] negative
2551,it's a shame there's no breakfast . hihihj . [A] [O] [S] [A] breakfast [O] no [S] negative,
2553,the room is nice . [A] [O] [S] [A] room [O] nice [S] positive,
2556,a comfortable place to stay . [A] [O] [S] [A] place [O] comfortable [S] positive,
2561,the bathroom is not clean enough . [A] [O] [S] [A] bathroom [O] not clean enough [S] negative,
2565,good service . thank you . [A] [O] [S] [A] service [O] good [S] positive,
2579,the hotel is very comfortable . [A] [O] [S] [A] hotel [O] very comfortable [S] positive,
2592,the room is dirty . [A] [O] [S] [A] room [O] dirty [S] negative,
2594,"a nice place for a stopover . close to the airport , you can order delivery . [A] [O] [S] [A] place [O] nice [S] positive",
2598,good service for 24 hours . [A] [O] [S] [A] service [O] good [S] positive,
2600,the staff is not friendly . [A] [O] [S] [A] staff [O] not friendly [S] negative,
2628,the breakfast menu is not complete . [A] [O] [S] [A] breakfast menu [O] not complete [S] negative,
2636,the room's lights are not bright enough . [A] [O] [S] [A] room's lights [O] not bright enough [S] negative,
2642,the receptionist was not friendly enough . [A] [O] [S] [A] receptionist [O] not friendly enough [S] negative,
2699,the wifi isn't working . [A] [O] [S] [A] wifi [O] isn't working [S] negative,
2700,"the location is okay , near the city center . [A] [O] [S] [A] location [O] okay [S] positive",
2703,the room is very small . [A] [O] [S] [A] room [O] very small [S] negative,
2733,"a comfortable place , very close to the mosque . [A] [O] [S] [A] place [O] comfortable [S] positive",
2755,"for the stay yesterday , the bed was not clean enough . [A] [O] [S] [A] bed [O] not clean enough [S] negative",
