index,original_sentence,original_triplet,counterfact1,counterfact_triplet1,counterfact1_modified,counterfact_triplet1_modified,counterfact2,counterfact_triplet2,counterfact2_modified,counterfact_triplet2_modified,counterfact3,counterfact_triplet3,counterfact3_modified,counterfact_triplet3_modified,checked1?,checked2?,checked3?
20,"the wifi is bad . i already reported it , but it hasn't been fixed .","[('wifi', 'bad', 'negative')]","the xyz is bad . i already reported it , but it hasn't been fixed .","('xyz', 'bad', 'negative')",,,"the wifi is poor . i already reported it , but it hasn't been fixed .","('wifi', 'poor', 'negative')",,,"the wifi is good . i already reported it , but it has not been fixed .","('wifi', 'good', 'positive')",,,False,False,False
30,the water pressure is low .,"[('water pressure', 'low', 'negative')]",the pore stress is low .,"('pore stress', 'low', 'negative')",,,the water pressure is weak .,"('water pressure', 'weak', 'negative')",,,the water pressure is good .,"('water pressure', 'good', 'positive')",,,False,False,False
46,the room is comfortable with blue shades .,"[('room', 'comfortable', 'positive')]",the door is comfortable with blue shades .,"('door', 'comfortable', 'positive')",,,the room is pleasant with blue shades .,"('room', 'pleasant', 'positive')",,,the room is uncomfortable with blue shades .,"('room', 'uncomfortable', 'negative')",,,False,False,False
47,very enjoyable .,"[('null', 'very enjoyable', 'positive')]",,,,,,,,,,,,,False,False,False
54,very bad . i already ordered and paid but it was unilaterally canceled by airy . i won't use airy again .,"[('null', 'very bad', 'negative')]",,,,,,,,,,,,,False,False,False
60,the service is good .,"[('service', 'good', 'positive')]",the bot is good .,"('bot', 'good', 'positive')",,,the service is great .,"('service', 'great', 'positive')",,,the service is bad .,"('service', 'bad', 'negative')",,,False,False,False
72,there are no airy facilities .,"[('airy facilities', 'no', 'negative')]",there are no quiet rooms .,"['quiet rooms', 'no', 'negative']",,,there are without airy facilities .,"['airy facilities', 'without', 'negative']",,,there are some airy facilities .,"('airy facilities', 'some', 'positive')",,,False,False,False
75,the bathroom water is salty .,"[('bathroom water', 'salty', 'negative')]",the garden pool is salty .,"('garden pool', 'salty', 'negative')",,,the bathroom water is bad .,"('bathroom water', 'bad', 'negative')",,,the bathroom water is fresh .,"('bathroom water', 'fresh', 'positive')",,,False,False,False
89,the service is good .,"[('service', 'good', 'positive')]",the table is good .,"('table', 'good', 'positive')",,,the service is great .,"('service', 'great', 'positive')",,,the service is bad .,"('service', 'bad', 'negative')",,,False,False,False
90,the room is okay .,"[('room', 'okay', 'positive')]",the trib is okay .,"('trib', 'okay', 'positive')",,,the room is good .,"('room', 'good', 'positive')",,,the room is bad .,"('room', 'bad', 'negative')",,,False,False,False
96,it was a very memorable experience .,"[('experience', 'very memorable', 'positive')]",it was a very memorable elephant .,"('elephant', 'very memorable', 'positive')",,,it was a very pleasant experience .,"('experience', 'very pleasant', 'positive')",,,it was a not memorable experience .,"('experience', 'not memorable', 'negative')",,,False,False,False
97,"the place is comfortable , always happy staying here .","[('place', 'comfortable', 'positive')]","the plage is comfortable , always happy staying here .","('plage', 'comfortable', 'positive')",,,"the place is pleasant , always happy staying here .","('place', 'pleasant', 'positive')",,,"the place is uncomfortable , always happy staying here .","('place', 'uncomfortable', 'negative')",,,False,False,False
117,definitely recommended .,"[('null', 'recommended', 'positive')]",,,,,,,,,,,,,False,False,False
123,there were no snacks even though i stayed for 4 consecutive days .,"[('snacks', 'no', 'negative')]",there were no snaps even though i stayed for 4 consecutive days .,"('snaps', 'no', 'negative')",,,there were none snacks even though i stayed for 4 consecutive days .,"('snacks', 'none', 'negative')",,,there were some snacks even though i stayed for 4 consecutive days .,"('snacks', 'some', 'positive')",,,False,False,False
130,quite comfortable .,"[('null', 'quite comfortable', 'positive')]",,,,,,,,,,,,,False,False,False
146,"indeed , there is no breakfast .","[('breakfast', 'no', 'negative')]","indeed , there is no food .","('food', 'no', 'negative')",,,"indeed , there is lacking breakfast .","('breakfast', 'lacking', 'negative')",,,"indeed , there is some breakfast .","('breakfast', 'some', 'positive')",,,False,False,False
157,the service is fast .,"[('service', 'fast', 'positive')]",the device is fast .,"['device', 'fast', 'positive']",,,the service is quick .,"['service', 'quick', 'positive']",,,the service is slow .,"('service', 'slow', 'negative')",,,False,False,False
166,there is no soap in the room .,"[('soap', 'no', 'negative')]",there is no sap in the room .,"['sap', 'no', 'negative']",,,there is lacking soap in the room .,"('soap', 'lacking', 'negative')",,,there is some soap in the room .,"('soap', 'some', 'positive')",,,False,False,False
167,there are no snacks .,"[('snacks', 'no', 'negative')]",there are no chips .,"('chips', 'no', 'negative')",,,there are none snacks .,"('snacks', 'none', 'negative')",,,there are snacks available .,"['snacks', 'available', 'neutral']",,,False,False,False
178,the wifi is not satisfactory : ) .,"[('wifi', 'not satisfactory', 'negative')]",the bars is not satisfactory : ) .,"('bars', 'not satisfactory', 'negative')",,,the wifi is not good : ) .,"('wifi', 'not good', 'negative')",,,the wifi is quite good : ) .,"('wifi', 'quite good', 'positive')",,,False,False,False
183,it's hard to turn on the ac .,"[('ac', 'hard to turn on', 'negative')]",it's hard to turn on the tv .,"['tv', 'hard to turn on', 'negative']",,,it's not easy to use the ac .,"('ac', 'not easy to use', 'negative')",,,it's easy to turn on the ac .,"('ac', 'easy to turn on', 'positive')",,,False,False,False
198,the room is cramped .,"[('room', 'cramped', 'negative')]",the plum is cramped .,"('plum', 'cramped', 'negative')",,,the room is small .,"('room', 'small', 'negative')",,,the room is spacious .,"('room', 'spacious', 'positive')",,,False,False,False
199,"i've stayed here 3 times , always a loyal customer . the place is comfortable .","[('place', 'comfortable', 'positive')]","i've stayed here 3 times , always a loyal customer . the space is comfortable .","('space', 'comfortable', 'positive')",,,"i've stayed here 3 times , always a loyal customer . the place is pleasant .","['place', 'pleasant', 'positive']",,,"i've stayed here 3 times , always a loyal customer . the place is bad .","('place', 'bad', 'negative')",,,False,False,False
201,the service is lacking .,"[('service', 'lacking', 'negative')]",the device is lacking .,"('device', 'lacking', 'negative')",,,the service is poor .,"('service', 'poor', 'negative')",,,the service is excellent .,"('service', 'excellent', 'positive')",,,False,False,False
220,the service is okay .,"[('service', 'okay', 'positive')]",the q is okay .,"('q', 'okay', 'positive')",,,the service is good .,"('service', 'good', 'positive')",,,the service is bad .,"('service', 'bad', 'negative')",,,False,False,False
223,a very comfortable place to rest .,"[('place', 'very comfortable', 'positive')]",a very comfortable location to rest .,"('location', 'very comfortable', 'positive')",,,a quite cozy place to rest .,"('place', 'quite cozy', 'positive')",,,a very uncomfortable place to rest .,"('place', 'very uncomfortable', 'negative')",,,False,False,False
225,the room is just right for newlyweds and couples with 1 child .,"[('room', 'just right', 'positive')]",the cave is just right for newlyweds and couples with 1 child .,"('cave', 'just right', 'positive')",,,the room is all good for newlyweds and couples with 1 child .,"('room', 'all good', 'positive')",,,the room is too small for newlyweds and couples with 1 child .,"('room', 'too small', 'negative')",,,False,False,False
229,"on the 1st floor , the room we occupied was quite large .","[('room', 'quite large', 'positive')]","on the 1st floor , the space we occupied was quite large .","('space', 'quite large', 'positive')",,,"on the 1st floor , the room we occupied was pretty big .","('room', 'pretty big', 'positive')",,,"on the 1st floor , the room we occupied was very small .","('room', 'very small', 'negative')",,,False,False,False
230,the hot shower isn't working .,"[('hot shower', ""isn't working"", 'negative')]",the blue river isn't working .,"('blue river', ""isn't working"", 'negative')",,,the hot shower is not functioning .,"('hot shower', 'is not functioning', 'negative')",,,the hot shower is now working .,"('hot shower', 'is now working', 'positive')",,,False,False,False
231,the place is nice .,"[('place', 'nice', 'positive')]",the plate is nice .,"('plate', 'nice', 'positive')",,,the place is good .,"('place', 'good', 'positive')",,,the place is ugly .,"('place', 'ugly', 'negative')",,,False,False,False
233,friendly service .,"[('service', 'friendly', 'positive')]",friendly unit .,"('unit', 'friendly', 'positive')",,,great service .,"('service', 'great', 'positive')",,,friendly service .,"('service', 'friendly', 'negative')",,,False,False,False
235,"the location is strategic , near blitar station and the town square .","[('location', 'strategic', 'positive')]","the place is strategic , near blitar station and the town square .","('place', 'strategic', 'positive')",,,"the location is advantageous , near blitar station and the town square .","('location', 'advantageous', 'positive')",,,"the location is poor , near blitar station and the town square .","['location', 'poor', 'negative']",,,False,False,False
245,the room was dirty .,"[('room', 'dirty', 'negative')]",the blob was dirty .,"['blob', 'dirty', 'negative']",,,the room was filthy .,"('room', 'filthy', 'negative')",,,the room was clean .,"('room', 'clean', 'positive')",,,False,False,False
