index,original_pair,corrupted_pair,Notes,
2501,pelayanan lumayan baik . [A] [O] [S] [A] pelayanan [O] lumayan baik [S] positive,fasilitas sangat buruk . [A] [O] [S] [A] fasilitas [O] sangat buruk [S] negative,,
2512,makanan yang kurang memuaskan . [A] [O] [S] [A] makanan [O] kurang memuaskan [S] negative,fasilitas yang cukup memuaskan . [A] [O] [S] [A] fasilitas [O] cukup memuaskan [S] positive,,
2517,kamar bersih . [A] [O] [S] [A] kamar [O] bersih [S] positive,daun kotor . [A] [O] [S] [A] daun [O] kotor [S] negative,,
2524,harga terjangkau dan dekat dengan pusat kota bandung . [A] [O] [S] [A] harga [O] terjangkau [S] positive,lift sering macet dan dekat dengan pusat kota bandung . [A] [O] [S] [A] lift [O] sering macet [S] negative,,
2529,hotel kurang nyaman . [A] [O] [S] [A] hotel [O] kurang nyaman [S] negative,ac terasa dingin . [A] [O] [S] [A] ac [O] terasa dingin [S] positive,,
2532,ini tempatnya oke . [A] [O] [S] [A] tempatnya [O] oke [S] positive,ini kamarnya kotor . [A] [O] [S] [A] kamarnya [O] kotor [S] negative,,
2541,pelayanan oke . [A] [O] [S] [A] pelayanan [O] oke [S] positive,kebersihan buruk . [A] [O] [S] [A] kebersihan [O] buruk [S] negative,,
2547,pelayanan yang sangat mengecewakan . [A] [O] [S] [A] pelayanan [O] sangat mengecewakan [S] negative,makanan yang cukup bervariasi . [A] [O] [S] [A] makanan [O] cukup bervariasi [S] positive,sangat mengecewakan,
2549,tidak ada air mineral di kamar . [A] [O] [S] [A] air mineral [O] tidak ada [S] negative,,tidak ada,
2550,"nyaman tempatnya , . [A] [O] [S] [A] tempatnya [O] nyaman [S] positive","susah aksesnya , . [A] [O] [S] [A] aksesnya [O] susah [S] negative",,
2551,sayang tidak ada breakfastnya . hihihj . [A] [O] [S] [A] breakfastnya [O] tidak ada [S] negative,sayang sudah ada susu . hihihj . [A] [O] [S] [A] susu [O] sudah ada [S] positive,,
2553,kamar bagus . [A] [O] [S] [A] kamar [O] bagus [S] positive,gorden robek . [A] [O] [S] [A] gorden [O] robek [S] negative,,
2556,tempat menginap yang nyaman . [A] [O] [S] [A] tempat [O] nyaman [S] positive,kamar menginap yang sempit . [A] [O] [S] [A] kamar [O] sempit [S] negative,,
2561,kamar mandi kurang bersih . [A] [O] [S] [A] kamar mandi [O] kurang bersih [S] negative,kamar tidur selalu bersih . [A] [O] [S] [A] kamar tidur [O] selalu bersih [S] positive,,
2565,pelayanan baik . terimakasih . [A] [O] [S] [A] pelayanan [O] baik [S] positive,,baik,
2579,hotel sangat nyaman . [A] [O] [S] [A] hotel [O] sangat nyaman [S] positive,staff tidak ramah . [A] [O] [S] [A] staff [O] tidak ramah [S] negative,,
2592,kamar kotor . [A] [O] [S] [A] kamar [O] kotor [S] negative,lokasi strategis . [A] [O] [S] [A] lokasi [O] strategis [S] positive,,
2594,"tempat enak buat persinggahan . dekat dengan bandara , bisa pesan antar . [A] [O] [S] [A] tempat [O] enak [S] positive","kamar pengap buat persinggahan . dekat dengan bandara , bisa pesan antar . [A] [O] [S] [A] kamar [O] pengap [S] negative",,
2598,pelayanan baik selama 24jam . [A] [O] [S] [A] pelayanan [O] baik [S] positive,,baik,
2600,penjaganya kurang ramah . [A] [O] [S] [A] penjaganya [O] kurang ramah [S] negative,kebersihan hotel sangat terjaga . [A] [O] [S] [A] kebersihan hotel [O] sangat terjaga [S] positive,,
2628,menu breakfast kurang lengkap . [A] [O] [S] [A] menu breakfast [O] kurang lengkap [S] negative,lokasi cukup strategis . [A] [O] [S] [A] lokasi [O] cukup strategis [S] positive,,
2636,lampu kamar kurang terang . [A] [O] [S] [A] lampu kamar [O] kurang terang [S] negative,kasur kamar selalu tersedia . [A] [O] [S] [A] kasur kamar [O] selalu tersedia [S] positive,,
2642,resepsionis kurang ramah . [A] [O] [S] [A] resepsionis [O] kurang ramah [S] negative,,resepsionis,
2699,wifi tidak hidup nya . [A] [O] [S] [A] wifi [O] tidak hidup [S] negative,ac sangat dingin nya . [A] [O] [S] [A] ac [O] sangat dingin [S] positive,,
2700,lokasi oke . dekat dengan pusat kota . [A] [O] [S] [A] lokasi [O] oke [S] positive,parkiran sempit . dekat dengan pusat kota . [A] [O] [S] [A] parkiran [O] sempit [S] negative,,
2703,kamarnya kecil banget . [A] [O] [S] [A] kamarnya [O] kecil banget [S] negative,suasana nya cukup tenang . [A] [O] [S] [A] suasana nya [O] cukup tenang [S] positive,kamarnya,suasana
2733,"tempat yang nyaman , dekat sekali dengan masjid . [A] [O] [S] [A] tempat [O] nyaman [S] positive","kamar yang bau , dekat sekali dengan masjid . [A] [O] [S] [A] kamar [O] bau [S] negative",,
2755,untuk inap yang kemarin tempat tidur kurang bersih . [A] [O] [S] [A] tempat tidur [O] kurang bersih [S] negative,untuk inap yang kemarin kamar mandi cukup bersih . [A] [O] [S] [A] kamar mandi [O] cukup bersih [S] positive,,
2945,wifi kurang baik . [A] [O] [S] [A] wifi [O] kurang baik [S] negative,ac sangat dingin . [A] [O] [S] [A] ac [O] sangat dingin [S] positive,,
2970,tempat tdr kurang nyaman . [A] [O] [S] [A] tempat tdr [O] kurang nyaman [S] negative,sarapan pagi sangat lezat . [A] [O] [S] [A] sarapan pagi [O] sangat lezat [S] positive,,
2991,pelayanan bagus . terimakasih airy ! [A] [O] [S] [A] pelayanan [O] bagus [S] positive,makanan buruk . terimakasih airy ! [A] [O] [S] [A] makanan [O] buruk [S] negative,,
3084,kamar sempit banget . [A] [O] [S] [A] kamar [O] sempit banget [S] negative,parkiran luas sekali . [A] [O] [S] [A] parkiran [O] luas sekali [S] positive,,
3113,kamar luas dekat stasiun balapan . [A] [O] [S] [A] kamar [O] luas [S] positive,,,
3172,wastafel macet . [A] [O] [S] [A] wastafel [O] macet [S] negative,,,
3251,tetapi tidak disediakan air mineral di dalam kamar . [A] [O] [S] [A] air mineral [O] tidak disediakan [S] negative,,,
3253,pelayanan resepsionis cepat . [A] [O] [S] [A] pelayanan resepsionis [O] cepat [S] positive,,,
3266,good banget hotelnya . [A] [O] [S] [A] hotelnya [O] good banget [S] positive,,,
3307,resepsionisnya ramah . [A] [O] [S] [A] resepsionisnya [O] ramah [S] positive,,,
3377,hotel nyaman . terimakasih airy . [A] [O] [S] [A] hotel [O] nyaman [S] positive,,,
3384,shower nya rusak . [A] [O] [S] [A] shower nya [O] rusak [S] negative,,,
3392,airnya terlalu kecil . [A] [O] [S] [A] airnya [O] terlalu kecil [S] negative,,,
3401,pelayanan cepat . [A] [O] [S] [A] pelayanan [O] cepat [S] positive,,,
3470,"proses check in nya lama , padahal sudah mau istirahat . [A] [O] [S] [A] proses check in nya [O] lama [S] negative",,,
3486,kamar mandi sempit . [A] [O] [S] [A] kamar mandi [O] sempit [S] negative,,,
3494,kamar luas dan dekat dengan tempat wisata . [A] [O] [S] [A] kamar [O] luas [S] positive,,,
3500,pelayanan nya sangat ramah . [A] [O] [S] [A] pelayanan nya [O] sangat ramah [S] positive,,,
3501,sayang wifi tidak bagus harus keluar kamar . [A] [O] [S] [A] wifi [O] tidak bagus [S] negative,,,
3510,ac kurang dingin . [A] [O] [S] [A] ac [O] kurang dingin [S] negative,api lumayan dingin . [A] [O] [S] [A] api [O] lumayan dingin [S] positive,,
3515,"setiap mau check in pasti dihotel ini , karena pelayanannya sangat baik . [A] [O] [S] [A] pelayanannya [O] sangat baik [S] positive",,,
3516,sangat baik pelayanan nya . [A] [O] [S] [A] pelayanan nya [O] sangat baik [S] positive,,,
3524,ac nya kurang dingin di kamar 515 . [A] [O] [S] [A] ac nya [O] kurang dingin [S] negative,,,
3526,alhamdulillah baik pelayanannya . [A] [O] [S] [A] pelayanannya [O] baik [S] positive,,,
3531,parkiran cukup luas . [A] [O] [S] [A] parkiran [O] cukup luas [S] positive,,,
3537,ac tidak dingin . [A] [O] [S] [A] ac [O] tidak dingin [S] negative,,,
3539,pelayanannya cepat . saya pas kesitu lagi ada renovasi . [A] [O] [S] [A] pelayanannya [O] cepat [S] positive,,,
3542,alhamdulillah tempatnya nyaman . [A] [O] [S] [A] tempatnya [O] nyaman [S] positive,,,
3548,semuanya oke . [A] [O] [S] [A] semuanya [O] oke [S] positive,,,
3564,pelayanan kurang baik . [A] [O] [S] [A] pelayanan [O] kurang baik [S] negative,,,
3574,tidak ada snack . [A] [O] [S] [A] snack [O] tidak ada [S] negative,,,
3576,pelayanannya kurang . [A] [O] [S] [A] pelayanannya [O] kurang [S] negative,,,
3580,pelayanannya bagus . sampai diantar ke bandara dengan juga . [A] [O] [S] [A] pelayanannya [O] bagus [S] positive,,,
3584,"bagus tempatnya , dekat rumah makan . [A] [O] [S] [A] tempatnya [O] bagus [S] positive",,,
3594,sayang lift tidak bekerja . [A] [O] [S] [A] lift [O] tidak bekerja [S] negative,,,
3629,airnya kurang kencang . [A] [O] [S] [A] airnya [O] kurang kencang [S] negative,kuku lumayan kencang . [A] [O] [S] [A] kuku [O] lumayan kencang [S] positive,,
3669,"tidak ada fasilitas airy , . [A] [O] [S] [A] fasilitas airy [O] tidak ada [S] negative",,,
3744,pelayan cepat . [A] [O] [S] [A] pelayan [O] cepat [S] positive,seprei lambat . [A] [O] [S] [A] seprei [O] lambat [S] negative,,
3753,tidak ada sabun di dalam kamar . [A] [O] [S] [A] sabun [O] tidak ada [S] negative,sedia fisika di dalam kamar . [A] [O] [S] [A] fisika [O] sedia [S] positive,,
3764,wifi nya kurang memuaskan : ) . [A] [O] [S] [A] wifi nya [O] kurang memuaskan [S] negative,astronomi cukup memuaskan : ) . [A] [O] [S] [A] astronomi [O] cukup memuaskan [S] positive,,
3783,"sudah 3x menginap di sini , selalu jadi langganan . tempat nyaman kok . [A] [O] [S] [A] tempat [O] nyaman [S] positive","sudah 3x menginap di sini , calon langganan . tapi sapu jadi risih . [A] [O] [S] [A] sapu [O] risih [S] negative",,
3804,tempat buat istirahat yang sangat nyaman sekali . [A] [O] [S] [A] tempat [O] sangat nyaman sekali [S] positive,kunci buat istirahat yang amat sangat berisik . [A] [O] [S] [A] kunci [O] amat sangat berisik [S] negative,,
3811,hot shower tidak berfungsi . [A] [O] [S] [A] hot shower [O] tidak berfungsi [S] negative,lukisan berfungsi baik . [A] [O] [S] [A] lukisan [O] berfungsi baik [S] positive,,
3858,seprai nya kurang bersih . [A] [O] [S] [A] seprai nya [O] kurang bersih [S] negative,tangkainya cukup bersih . [A] [O] [S] [A] tangkainya [O] cukup bersih [S] positive,,
3914,tempat enak banget . [A] [O] [S] [A] tempat [O] enak banget [S] positive,,,
3926,petugas yang ramah . [A] [O] [S] [A] petugas [O] ramah [S] positive,,,
4021,pelayannya kurang ramah . [A] [O] [S] [A] pelayannya [O] kurang ramah [S] negative,,,
4029,kamarnya kurang bersih . [A] [O] [S] [A] kamarnya [O] kurang bersih [S] negative,perjalanan agak kotor . [A] [O] [S] [A] perjalanan [O] agak kotor [S] positive,,
4062,kamar tidak kedap suara . [A] [O] [S] [A] kamar [O] tidak kedap suara [S] negative,layar meredam suara . [A] [O] [S] [A] layar [O] meredam suara [S] positive,,
4075,menu sarapan kurang enak . [A] [O] [S] [A] menu sarapan [O] kurang enak [S] negative,timbangannya lumayan enak . [A] [O] [S] [A] timbangannya [O] lumayan enak [S] positive,,
4087,kamar mandi terlalu sempit . [A] [O] [S] [A] kamar mandi [O] terlalu sempit [S] negative,otomotif cukup leluasa . [A] [O] [S] [A] otomotif [O] cukup leluasa [S] positive,,
4093,parkiran luas . [A] [O] [S] [A] parkiran [O] luas [S] positive,jaket sempit . [A] [O] [S] [A] jaket [O] sempit [S] negative,,
4161,menu sarapannya enak . [A] [O] [S] [A] menu sarapannya [O] enak [S] positive,pengadilannya hambar . [A] [O] [S] [A] pengadilannya [O] hambar [S] negative,,
4188,ac di kamar nomor 10 tidak dingin . [A] [O] [S] [A] ac [O] tidak dingin [S] negative,motor di kamar nomor 10 sangat dingin . [A] [O] [S] [A] motor [O] sangat dingin [S] positive,,
4212,air panasnya tidak stabil . [A] [O] [S] [A] air panasnya [O] tidak stabil [S] negative,alat tulis sudah stabil . [A] [O] [S] [A] alat tulis [O] sudah stabil [S] positive,,
4249,tidak ada tisu . [A] [O] [S] [A] tisu [O] tidak ada [S] negative,,,
4258,sarapannya kurang enak . [A] [O] [S] [A] sarapannya [O] kurang enak [S] negative,pohonnya sangat lezat . [A] [O] [S] [A] pohonnya [O] sangat lezat [S] positive,,
4272,ac nya panas . [A] [O] [S] [A] ac nya [O] panas [S] negative,es nya dingin . [A] [O] [S] [A] es nya [O] dingin [S] positive,,
4344,fasilitasnya bagus . terima kasih airy . [A] [O] [S] [A] fasilitasnya [O] bagus [S] positive,kemapanan nya buruk . terima kasih airy . [A] [O] [S] [A] kemapanan nya [O] buruk [S] negative,,
4442,wifi kurang kencang . [A] [O] [S] [A] wifi [O] kurang kencang [S] negative,bon cukup kencang . [A] [O] [S] [A] bon [O] cukup kencang [S] positive,,
